epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.477,0,35.6582,0,0,0,0,0,0,38.1342,0,0.000472118,0.000472118,0.000472118
2,447.392,0,23.5399,0,0,0,0,0,0,24.0015,0,0.000939062,0.000939062,0.000939062
3,654.492,0,12.2778,0,0,0,0,0,0,9.68181,0,0.00139657,0.00139657,0.00139657
4,2457.74,0,4.61931,0,0,0,0,0,0,3.05496,0,0.00138656,0.00138656,0.00138656
5,2673.48,0,1.48956,0,0,0,0,0,0,0.9475,0,0.00137241,0.00137241,0.00137241
6,2888.83,0,0.34039,0,0,0,0,0,0,0.19338,0,0.00135826,0.00135826,0.00135826
7,3104.64,0,0.05617,0,0,0,0,0,0,0.02925,0,0.00134412,0.00134412,0.00134412
8,3319.29,0,0.01789,0,0,0,0,0,0,0.01791,0,0.00132997,0.00132997,0.00132997
9,3534.92,0,0.00401,0,0,0,0,0,0,0.02121,0,0.00131582,0.00131582,0.00131582
10,3753,0,0.00328,0,0,0,0,0,0,1.32392,0,0.00130168,0.00130168,0.00130168
11,3982.36,0,0.00327,0,0,0,0,0,0,0.00477,0,0.00128753,0.00128753,0.00128753
12,4205.82,0,0.0028,0,0,0,0,0,0,0.00395,0,0.00127338,0.00127338,0.00127338
