epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.01458,3.2913,4.26331,3.19754,0.00291,0.25,0.00962,0.00179,3.84737,4.14129,3.37337,0,0,0
2,1.91656,3.32872,4.38264,3.19879,0.00318,0.25,0.01716,0.00254,3.89568,4.16744,3.40623,1.12625e-05,1.12625e-05,1.12625e-05
3,2.6969,3.55768,4.53327,3.10721,0.00158,0.125,0.00825,0.00165,3.84448,4.09214,3.37835,2.005e-05,2.005e-05,2.005e-05
4,3.44724,3.18397,4.30364,2.78156,0.00155,0.125,0.00773,0.00155,3.73926,4.06099,3.25978,2.63625e-05,2.63625e-05,2.63625e-05
5,4.20566,3.23011,4.89227,2.90357,0.00153,0.125,0.00651,0.00195,3.70144,4.10358,3.14518,3.02e-05,3.02e-05,3.02e-05
6,5.02945,3.72738,4.6482,3.02011,0.00151,0.125,0.00538,0.00269,3.71847,4.12195,3.0745,3.15625e-05,3.15625e-05,3.15625e-05
7,5.99558,2.74382,4.42967,2.44926,0.00278,0.25,0.00592,0.00317,3.46099,4.2442,2.87031,3.045e-05,3.045e-05,3.045e-05
8,6.97871,2.87608,4.39032,2.95062,0.00423,0.375,0.00633,0.00223,3.31377,4.24181,2.77171,2.68625e-05,2.68625e-05,2.68625e-05
9,7.87087,3.6539,4.82168,2.94375,0.00403,0.375,0.0069,0.00201,3.31256,4.23305,2.75433,2.08e-05,2.08e-05,2.08e-05
10,8.83397,3.0672,4.3598,2.70714,0.00404,0.375,0.00678,0.00196,3.27863,4.26632,2.75653,1.22625e-05,1.22625e-05,1.22625e-05
